Composer,Genre
Schubert/Liszt,Classical
Schumann,Classical
Schumann Arr. Kirchner,Classical
Schumann Arr. Liszt,Classical
Schumann/Liszt,Classical
Scriabin,Classical
Sergei Prokofiev,Classical
Sergei Rachmaninoff,Classical
Sergei Rachmaninov,Classical
Sergey Prokofiev,Classical
Sergey Prokofiev (1891-1953),Classical
Sergey Rachmaninov,Classical
Sergey Rachmaninov (1873-1943),Classical
Shostakovich,Classical
Shostakovich (arr. Strakhov),Classical
Shostakovich (arr. Sutton),Classical
Shostakovich Arr Borisovsky,Classical
Shostakovich Arr. Barshai,Classical
SHOSTAKOVICH Arr. HUNSBERGER,Classical
"Shostakovich, Arr Stasevich",Classical
Sibelius,Classical
Sibelius ,Classical
Simon & Garfunkel,Pop
Simon And Garfunkel,Pop
Sir Arthur Bliss (1891-1975),Classical
Sir Charles Villiers Stanford (1852-1924),Classical
Sir Edward Elgar,Classical
"Sir Edward Elgar, Arranged By Geoffey Emerson",Classical
Sir Harrison Birtwistle,Classical
Sir Harrison Birtwistle (b.1934),Classical
Sir Michael Tippett (1905-1998),Classical
Sir Peter Maxwell Davies,Classical
Sir Peter Maxwell Davies (1934-2016),Classical
Sir Richard Rodney Bennett,Classical
Sir Richard Rodney Bennett (1936-2012),Classical
Spice Girls,Pop
Stavinsky,Classical
Stockhausen,Classical
Straus,Classical
Strauss,Classical
Strauss Arr. E. Pahud,Classical
Strauss I Arr. Scott,Classical
Strauss II,Classical
Strauss R,Classical
Stravinsky,Classical
Stravinsky (transcription Guido Agosti),Classical
Stravinsky Pulcinella,Classical
SZYMANOWKSI,Classical
Szymanowski,Classical
T. Rex,Pop
T.Rex,Pop
Take That,Pop
Tchaikosky,Classical
Tchaikovsk,Classical
Tchaikovski,Classical
Tchaikovsky,Classical
Tchaikovsky ,Classical
Tchaikovsky Arr.  Cann,Classical
Tchaikovsky Arr. Scott,Classical
Tchaikovsky Arr. Stephenson,Classical
"Tchaikovsky, Arr. Cann",Classical
Tchiaikovsky,Classical
The Beach Boys,Pop
The Beatles,Pop
The Bee Gees,Pop
Tippet,Classical
Tippett,Classical
U2,Pop
UB40,Pop
"UB40’s Greatest Hits, Including",Pop
Vaughan Wiliams,Classical
Vaughan Williams,Classical
Vaughan Williams (arr. Geehl),Classical
Vaughan-Williams,Classical
Vaughn Williams,Classical
Verdi,Classical
Verdi Arr. Lemare,Classical
"Viardot, Medtner, Rachmaninov And Schumann",Classical
Villa Lobos,Classical
Villa-Lobos,Classical
Vivaldi,Classical
Vivaldi Arr. Bovet,Classical
"Vivaldi, Arr. Stephen Roberts",Classical
W A Mozart,Classical
Wagner,Classical
Wagner (arr Liszt),Classical
Wagner (arr. E. H. Lemare),Classical
Wagner (arr. Liszt),Classical
Wagner Arr. Lemare,Classical
Wagner Arr. Liszt,Classical
Wagner/Brassin,Classical
Wagner/Kocsis,Classical
Wagner/Liszt,Classical
Wagner/Stradal,Classical
Wilhelm Friedemann Bach,Classical
Wilhelm Friedemann Bach (1710-1784),Classical
William Boyce,Classical
William Byrd,Classical
William Byrd (c.1540-1623),Classical
William Walton,Classical
Witold Lutoslawski,Classical
Witold Lutos?awski (1913-1994),Classical
Wolf,Classical
Wolfgang Amadeus Mozart,Classical
Wolfgang Amadeus Mozart (1756-1791),Classical
Wolfgang Mozart,Classical
Ysaye,Classical
Ysaÿe,Classical
Zoltan Kodaly,Classical
Zoltán Kodály,Classical
Mary à Beckett,Classical
Michel van der Aa,Classical
Thorvald Aagaard,Classical
Truid Aagesen,Classical
Heikki Aaltoila,Classical
Juhan Aavik,Classical
Evaristo Dall'Abaco,Classical
Joseph Abaco,Classical
Antonio Abbatini,Classical
Gamal Abdel-Rahim,Classical
Mohamed Abdelfattah,Classical
